Id,Heading,Politik,Utbildning,Religion,Miljo,Ekonomi,LivsstilFritt,SamhalleKonflikter,Halsa,Idrott,VetenskapTeknik
70,Långtidsprognos: Så kan sommarvädret bli,0,0,0,0,0,1,0,0,0,0
71,Böter direkt för sommarplågor,0,0,0,0,0,1,0,0,0,0
72,FN-rapport: Vi måste ändra vårt sätt att leva,0,0,0,1,0,0,0,0,0,0
73,Insändare. ”Invandring och bostäder måste gå hand i hand”,1,0,0,0,1,0,0,0,0,0
74,Babyboom i storkbona ger hopp om framtiden,0,0,0,1,0,1,0,0,0,0
75,Nina Björk: Skolväsendet är i sig motsatsen till en marknad,0,0,0,0,0,0,0,0,0,0
76,Stockholmare avråds från fisk i flera sjöar,0,0,0,0,0,1,1,0,0,0
77,Hongkong-tidningen Apple Daily läggs ned,0,0,0,0,0,0,1,0,0,0
78,Stockholmstestet – vad vet du om staden?,0,0,0,0,0,1,0,0,0,0
79,Kry-grundaren vill göra CBD-olja rumsren,0,0,0,0,0,0,1,1,0,0
80,Johan Croneman: Låt mig slippa se BBC:s geniala dokumentär om pandemin,0,0,0,0,0,0,0,1,0,0
81,Insändare. ”Marknadshyror är ändå en lösning på bostadsbristen”,0,0,0,0,1,0,0,0,0,0
82,Så många kan vaccinet ha räddat i Sverige,0,0,0,0,0,0,0,1,0,0
83,Så slipper du köer i midsommartrafiken,0,0,0,0,0,0,1,0,0,0
84,Så gör du för att sova bättre i hettan,0,0,0,1,0,0,0,1,0,0
85,Per Svensson: Här är talet Ebba Busch snart kan hålla,1,0,0,0,0,0,0,0,0,0
86,DN låser upp sajten under politiska krisen,1,0,0,0,0,1,0,0,0,0
87,Tågvärden Omid från Kumla hotas på tåget,0,0,0,0,0,0,1,0,0,0
88,"Gask, bane och fission - kan du veckans ord?",0,0,0,0,0,1,0,0,0,0
89,Live. Mer intern kritik mot Lööf efter reträtten,1,0,0,0,0,0,0,0,0,0
90,Nutidstestet vecka 24. Har du hängt med?,0,0,0,0,0,1,0,0,0,0
91,Vad vet du om midsommardryck?,0,0,0,0,0,1,0,0,0,0
92,Fotbolls-EM – hela spelschemat,0,0,0,0,0,0,0,0,1,0
93,Live. UD: Förlängd avrådan för icke-nödvändiga resor,0,0,0,0,0,1,1,1,0,0
94,DN:s läsare varnas för bluffmejl om bitcoin,0,0,0,0,1,0,0,0,0,0
95,Covid-19 i Sverige just nu,0,0,0,0,0,0,0,1,0,0
96,Testa din bildning i DN:s kunskapsapp,0,0,0,0,0,1,0,0,0,0
97,Interna C-ilskan: ”Oerhört dåligt sätt att försöka rädda en kris”,1,0,0,0,1,0,0,0,0,0
98,Så kan Löfven komma till makten – hennes röst är avgörande,1,0,0,0,0,0,0,0,0,0
99,Äldre inte längre lika oroliga för covid-19,0,0,0,0,0,0,0,1,0,0
100,Man hittad död i badsjö,0,0,0,0,0,0,1,0,0,0
101,Dom om hemliga ”Operation Costa”: En av de åtalade frikänns,0,0,0,0,0,0,1,0,0,0
102,Åtalad advokat frias från stämpling till mord,0,0,0,0,0,0,1,0,0,0
103,Finland rekommenderar vaccin till 12-15-åringar,0,0,0,0,0,0,0,1,0,0
104,Rättegången mot Sergej Tichanovskij inleds,1,0,0,0,0,0,0,0,0,0
105,Reseavrådan förlängs– men grönt ljus för USA,0,0,0,0,0,1,1,0,0,0
106,Merkel: EU bör eftersträva dialog med Putin,1,0,0,0,0,0,0,0,0,0
107,Nytt identitetsnummer föreslås,0,0,0,0,0,0,1,0,0,0
108,Vargattacker förargar Kroatiens bönder,0,0,0,0,0,0,1,0,0,0
109,Här finns lagret när nästa pandemi kommer,0,0,0,0,0,0,0,1,0,0
110,Stort pådrag efter husras i Miami,0,0,0,0,0,0,1,0,0,0
111,Smugglade ut konvertit i resväska – döms,0,0,0,0,0,0,1,0,0,0
112,Intagna i Kumla matvägrar i protest mot värme,0,0,0,0,0,0,1,0,0,0
113,Ställ din fråga till My Rohwedder,1,0,0,0,0,0,0,0,0,0
114,Tegnells ord om 1 juli-fasen: Besked inom kort,0,0,0,0,0,0,0,1,0,0
115,2 000 Venezuelamigranter mördade i Colombia,0,0,0,0,0,0,1,0,0,0
116,Trotsar makten i Thailand – kräver demokrati,1,0,0,0,0,0,0,0,0,0
117,Hongkongtidning i graven – sista numret tryckt,0,0,0,0,0,0,1,0,0,0
118,Ökat våld när nätverkets ledare låsts in: ”Osäkerhet kring vem som ska klättra i hierarkin”,0,0,0,0,0,0,1,0,0,0
119,Präst kastade syra på sju biskopar,0,0,1,0,0,0,1,0,0,0
120,Pandemistöd gick till personal och skydd,0,0,0,0,0,0,0,1,0,0
121,Omärkta gravar upptäckta vid skola i Kanada,0,0,0,0,0,0,1,0,0,0
122,Advokat anklagades för mordplaner – frias,0,0,0,0,0,0,1,0,0,0
123,Missnöjet inom C: ”Är inte rätt väg”,1,0,0,0,0,0,0,0,0,0
124,Ställ dina frågor om klimatförändringarna,0,0,0,1,0,0,0,0,0,0
125,Kraftig rökutveckling  vid brand i Malmö,0,0,0,0,0,0,1,0,0,0
126,Lågprisbolag öppnar  flyglinje till Mallorca,0,0,0,0,1,1,0,0,0,0
127,Höghus kollapsade –  stor räddningsinsats,0,0,0,0,0,0,1,0,0,0
128,Beslutet: Nu finns det FEM världshav,0,0,0,1,0,1,0,0,0,0
129,Man hittad död i  sjö efter sökinsats,0,0,0,0,0,0,1,0,0,0
130,17-årig pojke rånad i östra Malmö,0,0,0,0,0,0,1,0,0,0
131,MORGONENS NYHETER: Tre nyheter i korthet,0,0,0,0,0,0,0,0,1,0
132,”Hoppas inte sossarna viker ner sig fullständigt”,1,0,0,0,0,0,0,0,0,0
133,61-åringen födde sitt barnbarn – nu berättar föräldrarna,0,0,0,0,0,1,0,0,0,0
134,Nära milstolpen: Endast 70 covidpatienter på iva,0,0,0,0,0,0,0,1,0,0
135,Bilist krockade med både älg och lastbil – smet från platsen,0,0,0,0,0,0,1,0,0,0
136,Mäklarna eniga: Unga har det värst på bomarknaden,0,0,0,0,1,1,0,0,0,0
137,"Heidi, 50, dog – maken om kampen mot långtidscovid",0,0,0,0,0,0,0,1,0,0
138,55-årig kvinna hittades  mördad med laddkabel,0,0,0,0,0,0,1,0,0,0
139,Dadgostars ökning –  mitt i regeringskrisen,1,0,0,0,0,0,0,0,0,0
140,"Kungen visar upp vrålåket – värd 1,7 miljoner",0,0,0,0,0,1,0,0,0,0
141,Sköt offer i ansiktet  – med soft air gun,0,0,0,0,0,0,1,0,0,0
142,Ny S-uppmaning – ökad press på Sabuni,1,0,0,0,0,0,0,0,0,0
143,Doldisarna avgörande för Lööf och Löfven,1,0,0,0,0,0,0,0,0,0
144,Rekordtidigt svampår – nu finns det kantareller,0,0,0,0,0,1,0,0,0,0
145,Sex skadade i explosion på återvinningsanläggning,0,0,0,0,0,0,1,0,0,0
146,Chefsåklagare: Sverige är ledande i Encrochat-mål,0,0,0,0,0,0,1,0,0,0
147,Spears liv i ”fängelset” – förvägras fler barn,0,0,0,0,0,1,0,0,0,0
148,Ett sista krav kvar innan Sverige kan öppna,0,0,0,0,0,1,1,1,0,0
149,”Regelhinder hotar företagens omställning”,0,0,0,0,1,0,0,0,0,0
150,”Vi bör bredda vår uppfattning om trohet”,0,0,0,0,0,1,0,0,0,0
151,134 000 trångbodda i Storstockholm,0,0,0,0,1,1,0,0,0,0
152,Massiv insats efter höghusras i Miami Beach,0,0,0,0,0,0,1,0,0,0
153,Friidrottare i allvarlig trafikolycka,0,0,0,0,0,0,1,0,1,0
154,Nazisterna och religion,0,0,1,0,0,0,1,0,0,0
155,Nytt identitetsnummer föreslås,0,0,0,0,0,0,1,0,0,0
156,Dansk landslagsduo klar för Häcken,0,0,0,0,0,0,0,0,1,0
157,Åtalad advokat frias från stämpling till mord,0,0,0,0,0,0,1,0,0,0
158,Vindkraft till havs – varför inte?,0,0,0,1,1,0,0,0,0,0
159,Finsk bostadsexpert: Dadgostar har fel,0,0,0,0,1,0,0,0,0,0
160,Finland rekommenderar vaccin till 12-15-åringar,0,0,0,0,0,0,0,1,0,0
161,Uppåt på börsen,0,0,0,0,1,0,0,0,0,0
162,Rättegången mot Sergej Tichanovskij inleds,0,0,0,0,0,0,1,0,0,0
163,Reseavrådan förlängs– men grönt ljus för USA,0,0,0,0,0,1,0,1,0,0
164,Merkel: EU bör eftersträva dialog med Putin,1,0,0,0,0,0,0,0,0,0
165,Jag längtar efter en DDR-sommar,0,0,0,0,0,1,0,0,0,0
166,Miljardaffär i Skellefteå,0,0,0,0,1,0,0,0,0,0
167,Vargattacker förargar Kroatiens bönder,0,0,0,1,0,0,1,0,0,0
168,Här finns lagret när nästa pandemi kommer,0,0,0,0,0,0,0,1,0,0
169,Största sajten i Belarus kan tvingas bort,0,0,0,0,0,0,1,0,0,0
170,Japans kejsare orolig för smitta under OS,0,0,0,0,0,0,0,1,1,0
171,Smugglade ut konvertit i resväska – döms,0,0,0,0,0,0,1,0,0,0
172,Intagna i Kumla matvägrar i protest mot värme,0,0,0,0,0,0,1,0,0,0
173,Historisk friidrottsstjärna lägger av,0,0,0,0,0,0,0,0,1,0
174,Piratkopior för miljarder lurar kunder och stater,0,0,0,0,1,1,0,0,0,0
175,Bilförsäljningen i Europa ökade i maj,0,0,0,0,1,0,0,0,0,0
176,2 000 Venezuelamigranter mördade i Colombia,0,0,0,0,0,0,1,0,0,0
177,Är företagen verkligen din medvetna kompis?,0,0,0,0,1,0,0,0,0,0
178,Hovrätten fastställer fängelsedomen mot IS-kvinnan,0,0,0,0,0,0,1,0,0,0
179,The Internationals flyttplaner oroar,0,0,0,0,0,0,0,0,1,0
180,Förslag: Oanmälda besök ska stoppa folkbokföringsbrott,0,0,0,0,0,0,1,0,0,0
181,Stort pådrag efter husras i Florida,0,0,0,0,0,0,1,0,0,0
182,Friidrottsprofiler i allvarlig olycka – voltade med minibuss,0,0,0,0,0,0,1,0,1,0
183,Efter handspritsbranden: E6 öppnar för trafik – vägen sanerad,0,0,0,0,0,0,1,0,0,0
184,Svenska fans stoppas från att se åttondelen: ”Dålig planering”,0,0,0,0,0,0,0,0,1,0
185,Efter Ekots avslöjanden: Bankernas läckor granskas,0,0,0,0,1,0,1,0,0,0
186,Danska bilister utsätts för stenkastning på E65,0,0,0,0,0,0,1,0,0,0
187,Insikter i en snustorr eukalyptusskog,0,0,0,1,0,0,0,0,0,0
188,C backar från kravet om fri hyressättning,1,0,0,0,1,0,0,0,0,0
189,Britney krävde sin frigivning i rätten,0,0,0,0,0,1,0,0,0,0
190,Hyresgästföreningen: Seger för Sveriges hyresgäster,0,0,0,0,1,1,0,0,0,0
191,Ramberg: Ett sätt att pressa Liberalerna,1,0,0,0,0,0,0,0,0,0
192,Lööf: Hoppas L omprövar sitt ställningstagande,1,0,0,0,0,0,0,0,0,0
193,Bidens drag mot skjutningarna: Hårda kontroller och sommarjobb,1,0,0,0,0,0,1,0,0,0
194,70 patienter vårdas på IVA: Läget kan vända igen,0,0,0,0,0,0,0,1,0,0
195,Konkurrenterna hakar på Amazons minimilön,0,0,0,0,1,0,0,0,0,0
196,Riksdagen tillsätter utredare för att stärka barns rättigheter,1,0,0,0,0,0,1,0,0,0
197,Flervåningshus rasade i Miami – minst åtta personer skadade,0,0,0,0,0,0,1,0,0,0
198,SMHI varnar för skyfall i Östergötland,0,0,0,1,0,0,0,0,0,0
199,Yngre kvinna hittad död i Ljungby kommun – polisen utreder mord,0,0,0,0,0,0,1,0,0,0
200,Hovrätten slår fast: Utpekade IS-kvinnan döms till fängelse,0,0,0,0,0,0,1,0,0,0
201,Ny operachef på Wermland Opera,0,0,0,0,0,1,0,0,0,0
202,Efter 10 stormiga år – nu går Rödkullen ut på samråd,0,0,0,0,0,0,0,0,1,0
203,Solig midsommar väntar i Skåne,0,0,0,1,0,0,0,0,0,0
204,Lastfartyg på grund söder om Sandöbron – måste bogseras loss,0,0,0,0,0,0,1,0,0,0
205,Eskilstuna basketcup ställs in för andra året i rad,0,0,0,0,0,0,0,1,1,0
206,Barn inlåst i varm bil i Kalix – räddningstjänsten fick slå sönder en ruta,0,0,0,0,0,0,1,0,0,0
207,Intern kritik mot Centerns eftergifter mot V,1,0,0,0,0,0,0,0,0,0
208,Stort pådrag efter husras i Miami,0,0,0,0,0,0,1,0,0,0
209,Antalet IVA-patienter sjunker – siffran nere på 70 personer,0,0,0,0,0,0,0,1,0,0
210,Lastbil har fastnat i en elledning – tågtrafiken påverkas,0,0,0,0,0,0,1,0,0,0
211,Ny Novusmätning: Ökat förtroende för Dadgostar,1,0,0,0,0,0,0,0,0,0
212,Skrotbrand i Norra hamnen i Malmö,0,0,0,0,0,0,1,0,0,0
213,Stora skillnader i vaccinationsgrad mellan EU-länderna,0,0,0,0,0,0,0,1,0,0
214,Viktor Claesson stor hjälte – när Sverige vann mot Polen,0,0,0,0,0,0,0,0,1,0
215,Politisk strid i Uppsala efter regeringskrisen,1,0,0,0,0,0,0,0,0,0
216,Centerpartiet backar från kravet på fri hyressättning,1,0,0,0,0,0,0,0,0,0
217,Kristina Lindquist: Sällan har SD varit så irrelevanta,1,0,0,0,0,0,0,0,0,0
218,Ella Lemhagen regisserar komediserie om kvinnors sexliv för HBO,0,0,0,0,0,1,0,0,0,0
219,Börsen gäspar när statsministern avgår,1,0,0,0,1,0,0,0,0,0
220,Hindren som kan stoppa rekordbörsen,0,0,0,0,1,0,0,0,0,0
221,Polisen söker vittnen efter mord på Kungsholmen,0,0,0,0,0,0,1,0,0,0
222,Statsvetare: Chans för Lööf att bli statsminister,1,0,0,0,0,0,0,0,0,0
223,Jimmie Åkesson: Vi kräver inflytande,1,0,0,0,0,0,0,0,0,0
224,Ewa Stenberg: Därför tror Stefan Löfven att han har chans att återuppstå med en tredje regering,1,0,0,0,0,0,0,0,0,0
225,Gigantiskt vattenkraftverk öppnat i Kina,0,0,0,0,0,0,0,0,0,1
226,Tre män gripna för våldtäkt i Malmö,0,0,0,0,0,0,1,0,0,0
227,Alien: Familjens projektledare har tagit semester,0,0,0,0,0,1,0,0,0,0
228,Cissi Wallin åtalas för grovt förtal för sin bok beslutar JK,0,0,0,0,0,1,0,0,0,0
229,Talmansrundorna – så går de till,1,0,0,0,0,0,0,0,0,0
230,Eidevall lämnar Rosengård för Arsenal: ”Sorgligt och spännande”,0,0,0,0,0,0,0,0,1,0
231,Mats Söderlund: Mobilisera kulturen så att vi förstår vad vi håller på att förlora,0,0,0,0,0,1,0,0,0,0
232,Stenevi om C och V: Finns en rad varianter,1,0,0,0,0,0,0,0,0,0
233,Nästa steg för talmannen: Kallar partiledare,1,0,0,0,0,0,0,0,0,0
234,Stefan Löfven avgår som statsminister,1,0,0,0,0,0,0,0,0,0
235,De spelar huvudrollerna i ”Bränn alla mina brev”,0,0,0,0,0,1,0,0,0,0
236,Hushållens lån växer snabbare,0,0,0,0,1,0,0,0,0,0
237,Studie: Vanligt med tramadol hos kriminella,0,0,0,0,0,0,1,0,0,0
238,Ryska Ljudmila Ulitskaja sätter tron i centrum,0,0,1,0,0,1,0,0,0,0
239,Saga Cavallin: Klädjättarna låtsats stå på de köpstarkas sida,1,0,0,0,1,0,0,0,0,0
240,Utlovar annat slut på ”Game of thrones”,0,0,0,0,0,1,0,0,0,0
241,Första kvinna under 52 sekunder på 400 häck,0,0,0,0,0,0,0,0,1,0
242,Skid Rows Johnny Solinger är död,0,0,0,0,0,1,0,0,0,0
243,Helena Sjödin Öberg: Karin Bodins korta tystnad säger mer än alla ord,0,0,0,0,0,1,0,0,0,0
244,Fler åtalade och dömda för insiderbrott,0,0,0,0,1,0,0,0,0,0
245,Nya Sherlock Holmes-berättelser på väg,0,0,0,0,0,1,0,0,0,0
246,Kommer spanska målskytten vakna?,0,0,0,0,0,0,0,0,1,0
247,Scouten: Ska försöka ta hand om taktpinnen,0,0,0,0,0,0,0,0,1,0
248,Erik de la Reguera: Le Pens fiasko öppnar för andra presidentkandidater till höger,1,0,0,0,0,0,0,0,0,0
249,Lyssna: 15 poddavsnitt du inte vill missa,0,0,0,0,0,1,0,0,0,0
250,20 bra reportage för lugna sommardagar,0,0,0,0,0,1,0,0,0,0
251,Kvinna till sjukhus efter grov misshandel,0,0,0,0,0,0,1,0,0,0
252,Studio DN: Sommarens bästa biofilmer,0,0,0,0,0,1,0,0,0,0
253,Sommarens bästa biofilmer – DN:s filmredaktör tipsar,0,0,0,0,0,1,0,0,0,0
254,Belgien höll för trycket och slog ut Portugal,0,0,0,0,0,0,0,0,1,0
255,Så ser smittoläget ut i EU när vaccinpassen införs,0,0,0,0,0,0,0,1,0,0
256,Åskådare utreds av polis efter kraschen,0,0,0,0,0,0,1,0,1,0
257,Knarkhandeln gick under polisens radar,0,0,0,0,0,0,1,0,0,0
258,Briljant album med tre kvinnliga musikpionjärer,0,0,0,0,0,1,0,0,0,0
259,Demenssjukdom ökade risken att dö med covid,0,0,0,0,0,0,0,1,0,0
260,”Inte rimligt att stötta juntans soldater”,0,0,0,0,0,0,1,0,0,0
261,DN Debatt. ”Avveckla pensionsgruppen – tillsätt pensionsberedning”,0,0,0,0,1,0,0,0,0,0
262,Sommarthriller – läs del 2 av ”Svart sol”,0,0,0,0,0,1,0,0,0,0
263,Nederländskt fiasko – utslagna av Tjeckien,0,0,0,0,0,0,0,0,1,0
264,Kyrkbränder kan ha koppling till massgravar,0,0,0,0,0,0,1,0,0,0
265,Lägstanivån måste höjas inom äldrevården,0,0,0,0,1,0,0,1,0,0
266,Svensson flydde Ukraina: ”Var lite orolig”,0,0,0,0,0,0,1,0,1,0
267,Striden om hyrorna har pågått i decennier,0,0,0,0,1,0,0,0,0,0
268,Brist på arbetskraft i Stockholms krogvärld,0,0,0,0,1,1,0,0,0,0
269,Po Tidholm: Peps Persson spelade blues när resten av landet vickade på huvudet framför Hep Stars,0,0,0,0,0,1,0,0,0,0
270,Polisen utreder detonation och skjutning,0,0,0,0,0,0,1,0,0,0
271,”Många oroas över att deras hus står på tur”,0,0,0,0,0,0,1,0,0,0
272,Forsberg jagar Ronaldo: ”Vill göra fler”,0,0,0,0,0,0,0,0,1,0
273,Ny ”translag” skapar protester i Spanien,0,0,0,0,0,0,1,1,0,0
274,Peps Perssons karriär i bilder,0,0,0,0,0,1,0,0,0,0
275,”Han hörde saker som vi andra inte gjorde”,0,0,0,0,0,0,1,0,0,0
276,Jessica: Utan fika stannar Sverige,0,0,0,0,0,1,0,0,0,0
277,Här kan någon sett tecken på liv på jorden,0,0,0,0,0,0,0,0,0,1
278,Se Sverige genom DN-fotografernas ögon,0,0,0,0,0,1,0,0,0,0
279,Åtta möjliga regeringar – och en omöjlig,1,0,0,0,0,0,0,0,0,0
280,DN:s kritiker väljer fem favoriter vecka 25,0,0,0,0,0,1,0,0,0,0
281,Växande ryska protester mot tvångsvaccinering,0,0,0,0,0,0,1,1,0,0
282,Här släpps tusentals yngel ut för att rädda den hotade ålen,0,0,0,1,0,0,0,0,0,0
283,Greta Thurfjell: Jag vill leva med Niklas Strömstedts sommarprat,0,0,0,0,0,1,0,0,0,0
284,Tegnell: Troligt att råden kan tas bort i höst,0,0,0,0,0,0,0,1,0,0
285,Amat Levin: Chokladen du äter kan mycket väl ha kommit till genom barnarbete,0,0,0,0,0,1,0,0,0,0
286,”Måste skildra en värld som fascinerar”,0,0,0,0,0,1,0,0,0,0
287,Engelsmän uppmanas: ”Håll er borta från uråldriga skogen”,0,0,0,1,0,1,0,0,0,0
288,Förklaring till husraset lär dröja,0,0,0,0,0,0,1,0,0,0
289,Hanne Kjöller: Den som inte kan prata med läkaren får finna sig i sämre vård,0,0,0,0,0,0,0,1,0,0
290,Nu tar pandemihundarna examen från valpskolan,0,0,0,0,0,1,0,1,0,0
291,Emma fiskade upp ett vapen vid Feskekörka,0,0,0,0,0,0,1,0,0,0
292,Björn Wiman: Det historiska hatet mot S är alltjämt en levande kraft,1,0,0,0,0,0,0,0,0,0
293,Kajsa Haidl: Benjamin Ingrosso upptäcker sig själv i sitt Sommarprat,0,0,0,0,0,1,0,0,0,0
294,Så vaccinerades Sverige under våren,0,0,0,0,0,0,0,1,0,0
295,Nutidstestet vecka 25. Har du hängt med?,0,0,0,0,0,1,0,0,0,0
296,”Visar att även en prins kan vara homosexuell”,0,0,0,0,0,1,0,0,0,0
297,"Ciceron, slunk och slup - kan du veckans ord?",0,0,0,0,0,1,0,0,0,0
298,Till sist löste hon gåtan om sin biologiska far,0,0,0,0,0,0,1,0,0,0
299,Stockholmstestet – vad vet du om staden?,0,0,0,0,0,1,0,0,0,0
300,Tågvärden Omid från Kumla hotas på tåget,0,0,0,0,0,0,1,0,0,0
301,Det här kan en övergångsregering göra,1,0,0,0,0,0,0,0,0,0
302,"Gask, bane och fission - kan du veckans ord?",0,0,0,0,0,1,0,0,0,0
303,Live. Bolund (MP) lägger ansvaret på V och C,1,0,0,0,0,0,0,0,0,0
304,Nutidstestet vecka 24. Har du hängt med?,0,0,0,0,0,1,0,0,0,0
305,Detta har hänt: Löfvens regeringskris,1,0,0,0,0,0,0,0,0,0
306,Fotbolls-EM – hela spelschemat,0,0,0,0,0,0,0,0,1,0
307,Al-Qaidas fånge Johan blev muslimen Mose,0,0,1,0,0,0,1,0,0,0
308,Höjt deltagartak och lättnader för serveringar,0,0,0,0,1,0,0,1,0,0
